State,County,inc2013,inc2014,inc2015,stateRank,pctChg2014,pctChg2015,stateRankChg
AR,Yell,28745.00,30472.00,30441.00,51,6,-0.1,54
CA,,48471.00,50988.00,53741.00,,5.2,5.4,
CA,Alameda,54684.00,57842.00,61879.00,7,5.8,7,4
CA,Alpine,59025.00,65248.00,69705.00,5,10.5,6.8,7
CA,Amador,38197.00,39823.00,41807.00,32,4.3,5,39
CA,Butte,36633.00,37576.00,39971.00,38,2.6,6.4,15
CA,Calaveras,41153.00,43558.00,46289.00,26,5.8,6.3,17
CA,Colusa,47380.00,42693.00,43237.00,31,-9.9,1.3,58
CA,Contra Costa,60776.00,62540.00,66348.00,6,2.9,6.1,22
CA,Del Norte,29561.00,31328.00,33129.00,57,6,5.7,24
CA,El Dorado,53958.00,56414.00,59145.00,9,4.6,4.8,42
CA,Fresno,34766.00,36448.00,38323.00,44,4.8,5.1,35
CA,Glenn,38900.00,36893.00,39375.00,41,-5.2,6.7,9
CA,Humboldt,38055.00,39565.00,41525.00,34,4,5,40
CA,Imperial,32262.00,32035.00,33584.00,56,-0.7,4.8,43
CA,Inyo,47364.00,50557.00,52668.00,19,6.7,4.2,49
CA,Kern,35039.00,36673.00,37355.00,47,4.7,1.9,55
CA,Kings,30127.00,32648.00,33126.00,58,8.4,1.5,57
CA,Lake,34268.00,35764.00,37807.00,45,4.4,5.7,25
CA,Lassen,31495.00,32666.00,34630.00,55,3.7,6,23
CA,Los Angeles,48140.00,50730.00,53521.00,16,5.4,5.5,29
CA,Madera,32821.00,34243.00,35165.00,54,4.3,2.7,54
CA,Marin,96868.00,103346.00,109076.00,1,6.7,5.5,28
CA,Mariposa,40411.00,43248.00,46069.00,27,7,6.5,12
CA,Mendocino,39738.00,41652.00,43845.00,29,4.8,5.3,33
CA,Merced,32858.00,34567.00,36185.00,49,5.2,4.7,46
CA,Modoc,37843.00,39597.00,40926.00,35,4.6,3.4,52
CA,Mono,42926.00,44597.00,46706.00,24,3.9,4.7,45
CA,Monterey,44707.00,46438.00,49836.00,21,3.9,7.3,2
